method,alpha_gt,seed,alpha_rec,r2,err_pct,recovers
SINDy,0.05,-1,0.0008927588650358038,0.004934118389847231,98.2144822699284,False
Psi-Vortex,0.05,0,0.05483245608738393,0.972755856937244,9.66491217476785,True
MLP,0.05,0,0.0009313116120544772,0.0049341183898472295,98.13737677589104,False
Psi-Vortex,0.05,1,0.05533120509189823,0.9742330608912999,10.66241018379646,True
MLP,0.05,1,0.0009313071648157665,0.004934118389847225,98.13738567036847,False
Psi-Vortex,0.05,2,0.05552717564743979,0.9751645764727171,11.054351294879568,True
MLP,0.05,2,0.0009301448078990318,0.004934118389847243,98.13971038420193,False
SINDy,0.08,-1,0.0014284140243951413,0.004934118389847235,98.21448246950607,False
Psi-Vortex,0.08,0,0.08757364101737085,0.987272897595313,9.467051271713558,True
MLP,0.08,0,0.001467305156793616,0.004934118389847226,98.16586855400797,False
Psi-Vortex,0.08,1,0.0873493787375742,0.97873050330583,9.186723421967748,True
MLP,0.08,1,0.0014670974003289118,0.004934118389847242,98.16612824958887,False
Psi-Vortex,0.08,2,0.08835240185198019,0.9726689855878883,10.440502314975237,True
MLP,0.08,2,0.001476566459623332,0.004934118389847238,98.15429192547083,False
SINDy,0.1,-1,0.001785517799991822,0.0049341183898472364,98.21448220000818,False
Psi-Vortex,0.1,0,0.10925012735655419,0.9763592797720398,9.250127356554184,True
MLP,0.1,0,0.0017700771457330134,0.004934118389847243,98.22992285426697,False
Psi-Vortex,0.1,1,0.10967178795511612,0.9742178899702655,9.671787955116113,True
MLP,0.1,1,0.0017676552305152381,0.004934118389847231,98.23234476948475,False
Psi-Vortex,0.1,2,0.10878471955644864,0.9725554530656296,8.784719556448634,True
MLP,0.1,2,0.0017798155442099086,0.0049341183898472425,98.22018445579009,False
SINDy,0.15,-1,0.0026782768330062576,0.00493411838984724,98.21448211132916,False
Psi-Vortex,0.15,0,0.16484522917018005,0.9731722099906187,9.896819446786703,True
MLP,0.15,0,0.0025080749434947384,0.004934118389847248,98.32795003767018,False
Psi-Vortex,0.15,1,0.16371052516014076,0.9735786207683699,9.14035010676051,True
MLP,0.15,1,0.0025026785643594055,0.0049341183898472425,98.3315476237604,False
Psi-Vortex,0.15,2,0.17115267852061575,0.9871502807141423,14.101785680410503,True
MLP,0.15,2,0.002518228710714917,0.004934118389847228,98.32118085952338,False
SINDy,0.2,-1,0.003571035534508056,0.0049341183898472364,98.21448223274597,False
Psi-Vortex,0.2,0,0.21959322811332813,0.974220895220497,9.796614056664056,True
MLP,0.2,0,0.003221870237658729,0.0049341183898472234,98.38906488117063,False
Psi-Vortex,0.2,1,0.2133141072208374,0.9861745075402776,6.657053610418697,True
MLP,0.2,1,0.0032120646113614616,0.0049341183898472295,98.39396769431929,False
Psi-Vortex,0.2,2,0.21629289927001208,0.9698913169324159,8.146449635006034,True
MLP,0.2,2,0.0032353733504407317,0.004934118389847245,98.38231332477963,False
