n_drivers,n_train_pts,noise_pct,err_pct,r2,identifiable
1,250,0,7.922467119272341,0.5242734303092413,False
1,250,2,13.850301079937244,0.6376793023803872,False
1,250,5,10.9237419928599,0.6404117349924063,False
1,250,10,21.157967554487517,0.4820635089697318,False
2,500,0,2.067833856216964,0.8954284952317201,True
2,500,2,2.1096387020832763,0.8908559045843233,True
2,500,5,2.2951729278115205,0.8710792576600109,True
2,500,10,1.7568216803676326,0.8659960900536063,True
3,750,0,2.693795084652816,0.9194733138670129,True
3,750,2,3.6643672017731888,0.9367707202291441,True
3,750,5,1.5364115936892206,0.915785595329707,True
3,750,10,2.1558530331582753,0.9219606268950603,True
5,1250,0,10.201910185594011,0.9712777748468832,True
5,1250,2,9.280071809631961,0.9748515149725656,True
5,1250,5,9.461282636467581,0.9715010140084178,True
5,1250,10,7.191987710250866,0.9813783695928898,True
