seed,vortex_mse,random_mse,vortex_epochs,random_epochs,vortex_time,random_time
0,3.868309050858443e-08,8.085432341431442e-07,35,500,5.223951399966609,5.196831199980807
1,1.7912140037878999e-07,1.1266301953583024e-06,133,500,5.165551499987487,5.2242163000046276
2,1.620935918822397e-08,4.2906970065814676e-07,49,459,5.098312599991914,5.015142899996135
3,1.845718422543996e-08,4.0440019688503526e-07,37,462,5.213255500013474,5.5372810999979265
4,8.71478960107197e-08,2.3547822536329477e-07,69,343,5.423972800024785,5.2286196000059135
5,9.057131222789394e-08,7.340848924286547e-07,71,500,5.132772900047712,5.54730410000775
6,1.2791291226221801e-07,2.388113671258907e-07,78,271,5.442307299992535,5.31075130001409
7,9.22893974575345e-08,1.4519998785544885e-06,12,500,5.0140264999936335,5.258709000016097
8,5.488800169928254e-08,3.220454232177872e-07,70,368,5.419895300001372,5.451114299998153
9,5.581280504429742e-08,1.495942342444323e-06,92,500,5.533931199985091,5.1994247999973595
10,1.0937457517457005e-07,8.448190556009649e-07,15,500,5.095337800041307,5.205073499993887
11,9.840954362516641e-08,2.7950446224167536e-07,84,213,5.192582999996375,4.997572900028899
12,9.286318203294286e-08,3.131430332814489e-07,52,405,5.413844600028824,5.44248399999924
13,2.2216529771412752e-07,7.878515475567838e-07,155,500,5.22879019996617,5.235599600011483
14,9.698496938881362e-08,3.5892622918254347e-07,80,415,4.497438899998087,3.875835700018797
15,1.4575266504834872e-07,9.872037480818108e-07,56,500,3.8348675000015646,5.095458599971607
16,9.457068728124796e-08,6.688632083751145e-07,52,500,5.407291700015776,5.332613000005949
17,9.140950396613334e-08,5.73678278215084e-07,58,500,4.54151459998684,4.035621999995783
18,1.2254253078936017e-07,6.305983220045164e-07,102,500,3.931533499970101,3.8335634999675676
19,8.3563108432827e-08,3.2139354289029143e-07,9,385,3.972760799981188,4.21081050002249
