model,seed,val_mse,train_time_s,alpha_recovered,alpha_error_pct,physically_interpretable,verilog_a_capable,n_params
Standard MLP,42,1.319285303225115e-08,1.7545909881591797,0.14955358057824,86.94197572280001,False,False,8577
Standard MLP,123,2.3731250564651418e-07,1.9019343852996826,-0.46359232531033767,679.490406637922,False,False,8577
Standard MLP,456,6.993899859253361e-08,1.8508243560791016,0.2090528626210064,161.316078276258,False,False,8577
Standard MLP,789,8.706459198037919e-07,2.2936017513275146,0.4678669884860128,484.833735607516,False,False,8577
Standard MLP,1000,1.9584688288887264e-06,1.8982410430908203,-0.7625059524142962,1053.13244051787,False,False,8577
Vanilla xLSTM,42,0.0005441952962428331,5.751142263412476,-1.178701496709783,1573.3768708872287,False,False,16305
Vanilla xLSTM,123,8.27959411253687e-06,5.659120559692383,0.24524843260704013,206.56054075880016,False,False,16305
Vanilla xLSTM,456,2.141396726074163e-05,5.513643264770508,0.3191402242125659,298.92528026570733,False,False,16305
Vanilla xLSTM,789,2.1957801436656155e-05,5.680497646331787,0.3448832396279303,331.1040495349129,False,False,16305
Vanilla xLSTM,1000,2.091254145852872e-06,5.688956022262573,-0.9893396618536292,1336.6745773170364,False,False,16305
Psi-Vortex,42,3.6370739753266434e-09,5.168856382369995,0.0932943841337166,16.61798016714575,True,True,16305
Psi-Vortex,123,3.9419698061315955e-10,5.44917631149292,0.08511900596609055,6.398757457613188,True,True,16305
Psi-Vortex,456,2.695601519775437e-10,5.8321075439453125,-0.12040073651874174,250.50092064842718,True,True,16305
Psi-Vortex,789,5.318931961539874e-10,6.025075197219849,0.07853071371359932,1.8366078580008514,True,True,16305
Psi-Vortex,1000,5.234834787870568e-10,5.439978361129761,-2.202621223730505,2853.276529663131,True,True,16305
